published_date,close
2021-12-01,460.972
2021-12-02,447.788
2021-12-05,430.736
2021-12-06,444.736
2021-12-07,430.332
2021-12-08,413.26
2021-12-09,411.94800000000004
2021-12-12,388.548
2021-12-13,365.876
2021-12-14,400.01199999999994
2021-12-15,406.836
2021-12-16,391.69199999999995
2021-12-20,383.092
2021-12-21,398.1
2021-12-22,423.36
2021-12-23,423.49199999999996
2021-12-26,419.796
2021-12-27,400.62
2021-12-28,402.316
2021-12-29,402.124
2022-01-02,406.064
2022-01-03,403.50800000000004
2022-01-04,414.336
2022-01-05,413.95599999999996
2022-01-06,421.49199999999996
2022-01-09,445.93199999999996
2022-01-10,451.084
2022-01-11,462.284
2022-01-12,457.64
2022-01-13,479.036
2022-01-16,490.384
2022-01-17,495.68
2022-01-18,486.98400000000004
2022-01-19,478.42
2022-01-20,491.92800000000005
2022-01-23,484.98800000000006
2022-01-24,459.84
2022-01-25,458.38
2022-01-26,449.89599999999996
2022-01-27,451.25199999999995
2022-01-30,481.01199999999994
2022-01-31,473.664
2022-02-01,489.3
2022-02-03,490.32800000000003
2022-02-06,484.056
2022-02-07,489.01199999999994
2022-02-08,481.184
2022-02-09,475.96
2022-02-10,472.39599999999996
2022-02-13,449.204
2022-02-14,452.76
2022-02-15,474.67199999999997
2022-02-16,462.63599999999997
2022-02-17,460.776
2022-02-20,456.176
2022-02-21,466.99199999999996
2022-02-22,470.11199999999997
2022-02-23,473.92800000000005
2022-02-24,460.116
2022-02-27,464.10400000000004
2022-02-28,449.244
2022-03-02,430.784
2022-03-06,426.74800000000005
2022-03-07,420.0
2022-03-09,408.496
2022-03-10,431.32800000000003
2022-03-13,442.152
2022-03-14,438.648
2022-03-15,431.86800000000005
2022-03-16,426.412
2022-03-20,425.36400000000003
2022-03-21,440.54400000000004
2022-03-22,436.13599999999997
2022-03-23,429.61199999999997
2022-03-24,421.796
2022-03-27,409.58
2022-03-28,401.62
2022-03-29,399.93199999999996
2022-03-30,410.69199999999995
2022-03-31,399.704
2022-04-03,394.4
2022-04-04,391.60400000000004
2022-04-05,383.792
2022-04-06,378.19599999999997
2022-04-07,384.94
2022-04-11,375.86400000000003
2022-04-12,368.276
2022-04-13,372.87199999999996
2022-04-17,364.9
2022-04-18,353.23199999999997
2022-04-19,354.116
2022-04-20,343.256
2022-04-21,342.224
2022-04-24,370.76800000000003
2022-04-25,365.704
2022-04-26,360.028
2022-04-27,364.44800000000004
2022-04-28,359.968
2022-05-02,344.844
2022-05-04,337.952
2022-05-05,330.04
2022-05-08,341.504
2022-05-09,341.12800000000004
2022-05-10,360.63199999999995
2022-05-11,385.564
2022-05-12,378.504
2022-05-17,355.724
2022-05-18,367.6
2022-05-19,359.716
2022-05-20,357.756
2022-05-23,349.676
2022-05-24,355.444
2022-05-25,358.01199999999994
2022-05-26,357.04400000000004
2022-05-27,352.272
2022-05-30,343.8
2022-05-31,339.284
2022-06-01,341.096
2022-06-02,338.912
2022-06-03,332.89599999999996
2022-06-06,332.976
2022-06-07,324.68399999999997
2022-06-08,339.316
2022-06-09,333.584
2022-06-10,330.332
2022-06-13,329.52
2022-06-14,319.66
2022-06-15,312.432
2022-06-16,315.132
2022-06-17,312.316
2022-06-19,299.29200000000003
